"INTNR","kvotgrupp","BG_COUNTRY","BG_Gender","BG_Age","AGE_ITA","MUN_ITA","NUTS2","lik_airp","imp_ind_airp","imp_oth_airp","prep_aut_airp","prep_ind_airp","know_aut_airp","know_ind_airp","exper_airp","work","education","income","politic","smoke","lik_airp_rel","imp_ind_airp_rel","we","PM10_mean"
1745,"Italien riksrep",1,0,"1",3,7,NA,2,3,4,3,2,2,3,0,1,0,0,2,0,1.11111111111111,1.42105263157895,0.90260106,17.9856053927895
1419,"Italien riksrep",1,0,"2",4,5,NA,5,4,5,3,3,2,4,1,1,1,1,2,0,1.61290322580645,1.25,0.90260106,18.423050960372
1553,"Italien riksrep",1,0,"1",3,6,NA,5,4,4,2,2,2,2,0,1,0,1,1,0,1.66666666666667,1.25,0.90260106,30.6782977878343
1272,"Italien riksrep",1,0,"2",4,6,NA,4,5,3,2,1,3,3,1,0,0,0,1,0,1.25,1.25,0.90260106,30.6782977878343
1344,"Italien riksrep",1,0,"2",4,6,NA,4,5,5,3,1,3,4,0,0,0,1,0,1,1.9047619047619,1.28205128205128,0.90260106,30.6782977878343
1378,"Italien riksrep",1,0,"2",4,4,NA,3,3,5,3,1,2,1,0,0,0,1,1,0,1.5,1.08,0.90260106,29.9320686058126
1278,"Italien riksrep",1,0,"1",3,4,NA,5,3,4,3,1,4,4,1,1,1,1,1,0,1.92307692307692,0.967741935483871,0.90260106,29.9320686058126
1328,"Italien riksrep",1,0,"1",3,4,NA,5,5,5,2,2,2,2,0,0,0,1,1,0,1.78571428571429,1.13636363636364,0.90260106,29.9320686058126
1562,"Italien riksrep",1,0,"1",3,4,NA,4,5,5,1,1,2,3,1,1,0,0,2,1,1.81818181818182,1.21951219512195,0.90260106,29.9320686058126
1334,"Italien riksrep",1,0,"1",3,4,NA,5,5,5,1,3,1,3,1,0,0,0,NA,0,NA,1.13636363636364,0.90260106,29.9320686058126
1554,"Italien riksrep",1,0,"2",4,4,NA,3,3,5,3,3,2,2,1,0,0,1,NA,0,1.11111111111111,1.07142857142857,0.90260106,29.9320686058126
1415,"Italien riksrep",1,0,"2",4,4,NA,5,5,5,2,1,4,4,1,0,0,1,2,1,2.17391304347826,1.13636363636364,0.90260106,29.9320686058126
1505,"Italien riksrep",1,0,"1",3,4,NA,5,5,5,3,2,3,3,1,0,0,1,0,0,2.08333333333333,2.08333333333333,0.90260106,29.9320686058126
1529,"Italien riksrep",1,0,"2",4,13,NA,3,3,4,3,2,3,2,0,0,0,0,1,0,1.36363636363636,1.11111111111111,0.90260106,18.9834615214343
1669,"Italien riksrep",1,0,"2",4,13,NA,4,3,4,3,4,3,3,0,0,1,1,1,0,1.66666666666667,1.11111111111111,0.90260106,18.9834615214343
1416,"Italien riksrep",1,0,"2",4,18,NA,4,5,5,2,4,2,5,1,1,1,1,0,0,1.48148148148148,1.25,0.90260106,20.7878009348761
1218,"Italien riksrep",1,0,"2",4,15,NA,5,4,5,2,2,5,3,1,0,1,1,2,0,1.72413793103448,1.33333333333333,0.90260106,24.2004089824606
1471,"Italien riksrep",1,0,"2",4,15,NA,4,4,5,4,1,5,5,1,0,0,1,0,0,1.9047619047619,1.81818181818182,0.90260106,24.2004089824606
1211,"Italien riksrep",1,0,"2",4,16,NA,5,5,4,1,1,1,4,0,0,0,1,NA,0,1.47058823529412,1.38888888888889,0.90260106,21.4124740394816
1664,"Italien riksrep",1,0,"2",4,16,NA,5,5,5,3,1,2,3,1,0,0,0,NA,1,1.66666666666667,1.28205128205128,0.90260106,21.4124740394816
1313,"Italien riksrep",1,0,"2",4,16,NA,3,3,5,1,1,2,4,1,1,0,1,2,1,0.967741935483871,0.769230769230769,0.90260106,21.4124740394816
1702,"Italien riksrep",1,1,"0",1,1,NA,4,4,5,2,2,3,4,0,1,0,1,NA,0,1.21212121212121,1.37931034482759,0.90260106,27.9600902352672
1713,"Italien riksrep",1,1,"0",2,11,NA,5,5,3,1,4,1,3,1,NA,0,1,2,0,2,1.38888888888889,0.90260106,23.4639123482115
1697,"Italien riksrep",1,1,"0",2,9,NA,4,3,5,3,3,2,4,1,1,1,1,1,1,1.53846153846154,1.11111111111111,0.90260106,20.6309126790573
1856,"Italien riksrep",1,1,"0",2,8,NA,3,3,3,3,3,3,3,0,1,0,1,2,0,1.07142857142857,1.07142857142857,0.90260106,25.3944252589319
1690,"Italien riksrep",1,1,"0",2,7,NA,3,3,3,3,3,3,3,0,1,1,1,2,0,1.15384615384615,1.11111111111111,0.90260106,17.9856053927895
1802,"Italien riksrep",1,1,"0",2,6,NA,4,5,5,2,2,2,3,0,1,1,1,1,0,1.53846153846154,1.5625,0.90260106,30.6782977878343
1678,"Italien riksrep",1,1,"0",2,4,NA,4,4,4,2,4,4,4,1,1,0,1,2,0,1.77777777777778,1.56521739130435,0.90260106,29.9320686058126
1691,"Italien riksrep",1,1,"0",2,4,NA,5,4,5,1,2,2,4,1,1,0,0,NA,1,2.38095238095238,1.81818181818182,0.90260106,29.9320686058126
1768,"Italien riksrep",1,1,"0",2,15,NA,5,4,4,1,3,2,4,0,1,0,1,1,1,2.08333333333333,1.42857142857143,0.90260106,24.2004089824606
1748,"Italien riksrep",1,1,"0",2,15,NA,5,5,5,3,3,3,3,1,1,1,1,1,0,1.66666666666667,1.21951219512195,0.90260106,24.2004089824606
1687,"Italien riksrep",1,1,"1",2,19,NA,4,3,3,2,3,1,1,0,1,0,1,0,0,1.66666666666667,0.9375,0.90260106,23.6267827677519
1792,"Italien riksrep",1,1,"1",3,8,NA,5,5,4,3,4,4,5,1,1,0,1,2,1,2.04545454545455,1.5625,0.90260106,25.3944252589319
1821,"Italien riksrep",1,1,"1",2,9,NA,3,5,5,3,1,3,2,0,1,0,0,1,0,1.5,1.19047619047619,0.90260106,20.6309126790573
1860,"Italien riksrep",1,1,"1",2,6,NA,4,5,5,3,3,3,4,1,1,1,1,1,0,1.33333333333333,1.42857142857143,0.90260106,30.6782977878343
1896,"Italien riksrep",1,1,"1",2,6,NA,2,4,5,2,1,3,2,1,1,0,0,2,1,0.833333333333333,1.11111111111111,0.90260106,30.6782977878343
1852,"Italien riksrep",1,1,"1",2,4,NA,5,5,5,3,3,3,3,1,1,0,1,1,1,1.5625,1.72413793103448,0.90260106,29.9320686058126
1728,"Italien riksrep",1,1,"1",2,4,NA,4,4,4,4,3,3,3,0,1,0,1,2,1,1.48148148148148,1.14285714285714,0.90260106,29.9320686058126
1848,"Italien riksrep",1,1,"1",2,4,NA,3,3,5,1,1,3,3,1,1,0,1,NA,0,1.11111111111111,1.11111111111111,0.90260106,29.9320686058126
1818,"Italien riksrep",1,1,"1",2,4,NA,4,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,0,1.8,NA,0.90260106,29.9320686058126
1827,"Italien riksrep",1,1,"1",2,4,NA,5,5,4,1,2,3,2,1,1,1,1,2,0,1.61290322580645,1.51515151515152,0.90260106,29.9320686058126
